"OPERATEUR";"CODE_EIC";"ANNEE";"FILIERE";"IRIS_CODE";"IRIS_LIBELLE";"ADRESSE";"NOM_COMMUNE";"CODE_GRAND_SECTEUR";"CONSO";"PDL"
"Enedis";"17X100A100A0001A";"2020";"E";"352381001";"Pontchaillou";"AVENUE DU PROFESSEUR LEON BERNARD";"RENNES";"T";5076.16483;2
"Enedis";"17X100A100A0001A";"2020";"E";"920730106";"Plateau Nord 2";"BOULEVARD WASHINGTON";"SURESNES";"T";5051.372;1
"Enedis";"17X100A100A0001A";"2020";"E";"831370607";"Besagne";"ZONE D AMENA BESAGNE";"TOULON";"T";4905.007;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630901";"Saint-Augustin 1";"121 RUE DE LA BECHADE";"BORDEAUX";"T";4901.78583;1
"Enedis";"17X100A100A0001A";"2020";"E";"452341701";"Sud";"60 RUE DES MONTEES";"ORLÉANS";"I";4812.7905;1
"Enedis";"17X100A100A0001A";"2020";"E";"352381007";"Beauregard";"AVENUE CHARLES TILLON";"RENNES";"T";4782.50006;6
"Enedis";"17X100A100A0001A";"2020";"E";"452342104";"Activités";"AVENUE DE CONCYR";"ORLÉANS";"T";4743.54733;1
"Enedis";"17X100A100A0001A";"2020";"E";"452340801";"Bourgogne-Pasteur";"25 RUE EUGENE VIGNAT";"ORLÉANS";"T";4711.77983;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380105";"Liberté Champ de Mars";"COURS DES ALLIES";"RENNES";"T";4655.06258;4
"Enedis";"17X100A100A0001A";"2020";"E";"352380806";"Margueritte";"58 BOULEVARD JACQUES CARTIER";"RENNES";"T";4647.12667;1
"Enedis";"17X100A100A0001A";"2020";"E";"330631301";"Gare Saint-Jean 1";"QUAI DE PALUDATE";"BORDEAUX";"T";4608.77179;10
"Enedis";"17X100A100A0001A";"2020";"E";"330630401";"La Bastide 1";"RUE BOUTHIER";"BORDEAUX";"T";4487.27183;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630901";"Saint-Augustin 1";"146 RUE LEO SAIGNAT";"BORDEAUX";"T";4461.60883;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380208";"Laennec-Dupont des Loges";"BOULEVARD SOLFERINO";"RENNES";"T";4348.91983;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630901";"Saint-Augustin 1";;"BORDEAUX";"T";4288.46567;1
"Enedis";"17X100A100A0001A";"2020";"E";"330631002";"Saint-Bruno-Saint-Victor 2";"RUE DU CHATEAU D EAU";"BORDEAUX";"T";4147.07288;3
"Enedis";"17X100A100A0001A";"2020";"E";"920730101";"Bas de Suresnes 1";"22 RUE PAGES";"SURESNES";"I";4078.2985;1
"Enedis";"17X100A100A0001A";"2020";"E";"920730103";"République 2";"3 RUE DE LA REPUBLIQUE";"SURESNES";"T";4024.903;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630901";"Saint-Augustin 1";"PLACE AMELIE RABA LEON";"BORDEAUX";"T";4003.74117;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630101";"Le Lac 1";"AVENUE DES 40 JOURNAUX";"BORDEAUX";"T";3990.88273;17
"Enedis";"17X100A100A0001A";"2020";"E";"352380602";"Michelet";"RUE DU MOULIN DE JOUE";"RENNES";"T";3880.45433;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380308";"Z.A. Ouest";"RUE DE LA RETARDAIS";"RENNES";"T";3816.47433;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630101";"Le Lac 1";"AVENUE DU VERGNE";"BORDEAUX";"T";3804.203;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380509";"Saint-Laurent";"305 AVENUE GENERAL GEORGE PATTON";"RENNES";"T";3764.16883;1
"Enedis";"17X100A100A0001A";"2020";"E";"330631002";"Saint-Bruno-Saint-Victor 2";"22 RUE DU CHATEAU D EAU";"BORDEAUX";"T";3690.9415;1
"Enedis";"17X100A100A0001A";"2020";"E";"452340803";"Gare-Munster";"RUE SAINT YVES";"ORLÉANS";"T";3516.3985;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380602";"Michelet";"3 AVENUE FRANCOIS CHATEAU";"RENNES";"T";3396.5035;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630204";"Bacalan 4";"RUE ACHARD";"BORDEAUX";"T";3375.05989;4
"Enedis";"17X100A100A0001A";"2020";"E";"330631002";"Saint-Bruno-Saint-Victor 2";"RUE DU CORPS FRANC POMMIES";"BORDEAUX";"T";3370.41467;1
"Enedis";"17X100A100A0001A";"2020";"E";"352381106";"Saint-Benoît";"3 RUE DE SUISSE";"RENNES";"I";3362.02617;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380904";"Cleunay Ouest";"BOULEVARD VOLTAIRE";"RENNES";"T";3346.318;1
"Enedis";"17X100A100A0001A";"2020";"E";"452342002";"Lavoisier-Insee";"RUE EDOUARD BRANLY";"ORLÉANS";"T";3343.25762;3
"Enedis";"17X100A100A0001A";"2020";"E";"330630705";"Villa Primerose Parc Bordelais-Caudéran 5";"RUE JULES FERRY";"BORDEAUX";"I";3291.1655;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630101";"Le Lac 1";"ROND POINT ROGER LAPEBIE";"BORDEAUX";"T";3261.45733;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630103";"Le Lac 3";"ALLEE DE BOUTAUT";"BORDEAUX";"T";3224.40683;1
"Enedis";"17X100A100A0001A";"2020";"E";"452340802";"Bourgogne-Saint-Vincent";"5 RUE DE BEL AIR";"ORLÉANS";"T";3169.75183;1
"Enedis";"17X100A100A0001A";"2020";"E";"920730114";"République 1";"QUAI LEON BLUM";"SURESNES";"I";3116.91837;2
"Enedis";"17X100A100A0001A";"2020";"E";"452342104";"Activités";"8 AVENUE BUFFON";"ORLÉANS";"I";3089.17617;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630101";"Le Lac 1";"COURS CHARLES BRICAUD";"BORDEAUX";"T";3039.73507;4
"Enedis";"17X100A100A0001A";"2020";"E";"452342103";"Universités";"RUE DE CHARTRES";"ORLÉANS";"T";3034.28067;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630401";"La Bastide 1";"125 QUAI DE BRAZZA";"BORDEAUX";"I";2991.57217;1
"Enedis";"17X100A100A0001A";"2020";"E";"330631002";"Saint-Bruno-Saint-Victor 2";"RUE CLAUDE BONNIER";"BORDEAUX";"T";2974.70749;6
"Enedis";"17X100A100A0001A";"2020";"E";"920730102";"Carnot Gambetta 1";"33 RUE DE VERDUN";"SURESNES";"T";2953.68683;1
"Enedis";"17X100A100A0001A";"2020";"E";"831370101";"Bon Rencontre-Arsenal";"AVENUE LAURENT MATTIO";"TOULON";"T";2915.13217;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380904";"Cleunay Ouest";"RUE EUGENE POTTIER";"RENNES";"T";2901.71667;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630101";"Le Lac 1";"RUE CARDINAL RICHAUD";"BORDEAUX";"T";2871.34806;4
"Enedis";"17X100A100A0001A";"2020";"E";"330630503";"Hôtel de Ville-Quinconces 3";"11 RUE SAINTE CATHERINE";"BORDEAUX";"T";2868.41283;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380306";"Stade Rennais";"111 RUE DE LORIENT";"RENNES";"T";2773.77242;2
"Enedis";"17X100A100A0001A";"2020";"E";"330630101";"Le Lac 1";"AVENUE DE LA JALLERE";"BORDEAUX";"T";2757.79833;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380605";"Campus de Beaulieu";"20 AVENUE DES BUTTES DE COESMES";"RENNES";"T";2754.52133;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630507";"Hôtel de Ville-Quinconces 7";"PLACE DES QUINCONCES";"BORDEAUX";"T";2734.80635;6
"Enedis";"17X100A100A0001A";"2020";"E";"352380603";"Le Gallet-Les Longs Champs Nord";"RUE MORVAN LEBESQUE";"RENNES";"T";2714.80617;1
"Enedis";"17X100A100A0001A";"2020";"E";"452340801";"Bourgogne-Pasteur";"RUE EUGENE VIGNAT";"ORLÉANS";"T";2707.14583;3
"Enedis";"17X100A100A0001A";"2020";"E";"452341701";"Sud";"RUE DES MONTEES";"ORLÉANS";"T";2705.145;1
